,Movie_ID,Title,Year,Genre
0,146,Ugly,2014,Thriller
10,11,International Hero,2015,Drama
11,12,Mumbai Can Dance Saala,2015,Thriller
12,13,Take It Easy,2015,Drama
13,14,Tevar,2015,Action/romance
14,15,Alone,2015,Horror
15,16,Crazy Cukkad Family,2015,Comedy
16,17,Sharafat Gayi Tel Lene,2015,Comedy/thriller
17,18,Baby,2015,Thriller
18,19,Dolly Ki Doli,2015,Romantic/comedy
19,20,Chal Guru Ho Ja Shuru,2015,Comedy
20,21,Hawaizaada,2015,Drama
21,22,Khamoshiyan: Silences Have Secrets,2015,Horror
22,23,Rahasya,2015,Mystery
23,24,Jai Jawaan Jai Kisaan,2015,Drama
24,25,Shamitabh,2015,Drama
25,26,MSG: The Messenger,2015,Action/drama
26,27,Roy,2015,Romance/thriller
27,28,Badlapur,2015,Action/thriller
28,29,Qissa,2015,Historical drama
29,30,Ab Tak Chhappan 2,2015,Crime/drama
30,31,Dum Laga Ke Haisha,2015,Comedy
31,32,Badmashiyaan,2015,Romantic comedy
32,33,Coffee Bloom,2015,Romance/drama
33,34,Dirty Politics,2015,Political drama
34,35,Hey Bro,2015,Comedy
35,36,NH10,2015,Thriller
36,37,Dilliwali Zaalim Girlfriend,2015,Comedy
37,38,Hunterrr,2015,Comedy
38,39,Barkhaa,2015,Romance
39,40,Detective Byomkesh Bakshy,2015,Thriller
40,41,Luckhnowi Ishq,2015,Romance
41,42,Dharam Sankat Mein,2015,Drama
42,43,Ek Paheli Leela,2015,Musical
43,44,Court,2015,Drama
44,45,Margarita with a Straw,2015,Drama
45,46,Mr. X,2015,Sci fi/thriller
46,47,NH-8 Road to Nidhivan,2015,Horror
47,48,"Ek Adbhut Dakshina Guru Dakshina
",2015,Dance/drama
48,49,Ishq Ke Parindey,2015,Romance
49,50,Kaagaz Ke Fools,2015,Comedy
50,51,Gabbar is Back,2015,Crime/action
51,52,Sabki Bajegi Band,2015,Thriller/drama
52,53,Kuch Kuch Locha Hai,2015,Comedy
53,54,Piku,2015,Comedy/drama
54,55,Bombay Velvet,2015,Crime/drama
55,56,Main Hoon Rajinikanth,2015,"Spoof, comedy, thriller"
56,57,Tanu Weds Manu Returns,2015,Romance/comedy
57,58,I Love Desi,2015,Comedy
58,59,Ishqedarriyaan,2015,Drama
59,60,P Se PM Tak,2015,Comedy
60,61,Welcome 2 Karachi,2015,Comedy
61,62,Dil Dhadakne Do,2015,Drama
62,63,Mere Genie Uncle 3D,2015,Drama
63,64,Hamari Adhuri Kahani,2015,Romance/drama
64,65,ABCD 2,2015,Dance
65,66,Miss Tanakpur Haazir Ho ,2015,Comedy/drama
66,67,Uvaa,2015,Social/comedy
67,68,Bezubaan Ishq,2015,Romance
68,69,Guddu Rangeela,2015,Comedy
69,70,Second Hand Husband,2015,Drama
70,71,I Love NY,2015,Romance/drama
71,72,Thoda Lutf Thoda Ishq,2015,Romance/drama
72,73,Bajrangi Bhaijaan,2015,"Action, comedy, drama"
73,74,Aisa Yeh Jahaan,2015,Drama
74,75,Masaan,2015,Drama
75,76,Drishyam,2015,Drama/thriller
76,77,Bangistan,2015,Comedy
77,78,Brothers,2015,Drama
78,79,Gour Hari Dastaan,2015,Drama
79,80,All Is Well,2015,Drama
80,81,Manjhi - The Mountain Man,2015,Drama
81,82,Rolling Dream,2015,Drama
82,83,Kaun Kitney Paani Mein,2015,Social/drama
83,84,Phantom,2015,Action/thriller
84,85,Welcome Back,2015,Romance/comedy
85,86,Hero,2015,Action/romance
86,87,Sorry Daddy,2015,Action/drama
87,88,Katti Batti,2015,Romance/comedy
88,89,Meeruthiya Gangster,2015,Crime/comedy
89,90,MSG-2:The Messenger,2015,Action/thriller
90,91,Kis Kisko Pyaar Karoon,2015,Comedy
91,92,Calendar Girls,2015,Drama
92,93,Bhaag Johnny,2015,Drama
93,94,Time Out,2015,Drama
94,95,Mumbhaii - The Gangster,2015,Crime/Drama
95,96,Singh Is Bliing,2015,Comedy
96,97,Talvar,2015,Thriller
97,98,Jazbaa,2015,Action/drama
98,99,Bumper Draw,2015,Comedy
99,100,Chinar Daastaan-E-Ishq,2015,Romantic/drama
100,101,Pyaar Ka Punchnama 2,2015,Comedy
101,102,Wedding Pullav,2015,Comedy
102,103,Shaandaar,2015,Romance/comedy
103,104,Titli,2015,Crime
104,105,Main Aur Charles,2015,Thriller
105,106,Once Upon A Time In Bihar,2015,Political
106,107,"Guddu Ki Gun
",2015,Comedy
107,108,Love Exchange,2015,Romance
108,109,Prithipal Singh... A Story,2015,Biopic
109,110,Four Pillars of Basement,2015,Thriller
110,111,Charlie Kay Chakkar Mein,2015,Crime/thriller
111,112,Yaara Silly Silly,2015,Romance
112,113,"Ranbanka
",2015,Action
113,114,Prem Ratan Dhan Payo,2015,Romance
114,115,X,2015,Anthology
115,116,Angry Indian Goddesses,2015,Drama
116,117,Tamasha,2015,Romance
117,118,Hate Story 3,2015,Adult/thriller
118,119,Kajarya,2015,Drama
119,120,The Silent Heroes,2015,Adventure
120,121,Bajirao Mastani,2015,Romance
121,122,Dilwale,2015,Action/romance
